transaction_id,customer_id,product_id,transaction_date,quantity,campaign_id,category,unit_cost,unit_price,discount_pct,discount_amount,revenue,cost,gross_margin,marketing_channel,return_flag
TX000001,CUST02917,PROD049,2025-08-30,1,CAMP005,Office,192.21459343486353,307.240413746751,0.02,6.144808274935021,301.095605471816,192.21459343486353,108.88101203695246,PaidSearch,0
TX000002,CUST00468,PROD004,2024-02-09,2,CAMP010,Clothing,56.923428368741874,86.48984379540396,0.12,20.75756251089695,152.22212507991097,113.84685673748375,38.37526834242722,PaidSearch,0
TX000003,CUST00866,PROD025,2025-04-15,4,CAMP008,Clothing,115.77475874504223,231.43783460284155,0.03,27.772540152340984,897.9787982590252,463.09903498016894,434.8797632788563,Affiliate,0
TX000004,CUST02982,PROD033,2024-10-18,2,CAMP023,Electronics,134.25890206984718,245.42826258700296,0.19,93.26273978306112,397.5937853909448,268.51780413969436,129.07598125125043,Organic,0
TX000005,CUST01562,PROD014,2025-07-26,1,CAMP004,Electronics,104.53755584385792,152.35046986516303,0.08,12.188037589213042,140.16243227594998,104.53755584385792,35.624876432092066,PaidSearch,0
TX000006,CUST01234,PROD024,2024-08-02,2,CAMP007,Office,131.10687632962487,200.48747499355335,0.03,12.0292484996132,388.9457014874935,262.21375265924974,126.73194882824379,Organic,0
TX000007,CUST00604,PROD011,2023-12-06,1,CAMP006,Office,34.892777543588466,46.10595315918248,0.01,0.4610595315918248,45.644893627590655,34.892777543588466,10.75211608400219,Affiliate,0
TX000008,CUST01661,PROD025,2023-09-25,2,CAMP015,Clothing,115.77475874504223,206.04695323263059,0.07,28.846573452568286,383.2473330126929,231.54951749008447,151.6978155226084,Organic,0
TX000009,CUST01097,PROD028,2023-08-06,1,,Sports,155.37025241029488,289.0959693821217,0.18,52.03727448878191,237.0586948933398,155.37025241029488,81.68844248304492,,0
TX000010,CUST02016,PROD007,2025-03-23,2,,Office,189.22892125608846,372.49488747615135,0.03,22.34969324856908,722.6400817037336,378.4578425121769,344.1822391915567,,0
TX000011,CUST01659,PROD049,2023-06-13,4,CAMP014,Office,192.21459343486353,309.3205669983271,0.16,197.96516287892933,1039.317105114379,768.8583737394541,270.4587313749249,Affiliate,0
TX000012,CUST01734,PROD036,2025-04-27,2,,Home,26.300914130903003,44.80662398980611,0.08,7.1690598383689785,82.44418814124325,52.601828261806006,29.84235987943724,,0
TX000013,CUST01614,PROD010,2024-11-21,3,CAMP011,Sports,157.91801721171606,237.10647256420174,0.16,113.81110683081683,597.5083108617883,473.7540516351482,123.75425922664016,Social,0
TX000014,CUST00860,PROD049,2024-01-26,1,CAMP010,Office,192.21459343486353,316.81110284607075,0.17,53.85788748383203,262.9532153622387,192.21459343486353,70.73862192737519,PaidSearch,0
TX000015,CUST01880,PROD036,2024-02-21,2,CAMP017,Home,26.300914130903003,37.18618201181654,0.2,14.874472804726617,59.49789121890647,52.601828261806006,6.896062957100462,Email,0
TX000016,CUST01277,PROD031,2023-02-17,3,CAMP013,Clothing,133.13940417960356,234.84728509656634,0.01,7.04541855289699,697.496436736802,399.4182125388107,298.07822419799135,Organic,0
TX000017,CUST00013,PROD019,2023-07-13,1,,Clothing,128.40276066111556,143.86634739501832,0.16,23.018615583202934,120.8477318118154,128.40276066111556,-7.555028849300172,,0
TX000018,CUST02347,PROD018,2025-03-11,2,CAMP005,Home,92.16306167613557,103.73977119769286,0.01,2.0747954239538573,205.40474697143188,184.32612335227114,21.078623619160737,PaidSearch,0
